Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022/23 Salary,Salary
Seth Curry,SG,32,BRK,50,7,21.4,3.7,8.0,0.462,1.6,4.1,0.395,2.1,3.9,0.534,0.564,0.9,0.9,0.979,0.3,1.6,1.8,1.8,0.7,0.1,0.9,1.7,9.9,8496653,8496653
Stephen Curry,PG,34,GSW,42,42,34.7,9.9,20.0,0.496,5.0,11.5,0.433,4.9,8.5,0.583,0.621,4.9,5.3,0.924,0.6,5.6,6.2,6.3,1.0,0.4,3.3,2.2,29.8,48070014,48070014
Dyson Daniels,PG,19,NOP,46,11,19.3,1.6,3.8,0.425,0.5,1.6,0.306,1.1,2.2,0.51,0.489,0.5,0.8,0.629,0.6,2.7,3.4,2.5,0.8,0.2,1.0,1.8,4.2,5508600,5508600
Anthony Davis,C,29,LAL,43,41,33.5,9.7,17.3,0.56,0.4,1.5,0.262,9.3,15.8,0.588,0.571,6.1,7.6,0.801,3.3,9.1,12.5,2.6,1.0,2.1,2.3,2.7,25.9,37980720,37980720
Johnny Davis,SG,20,WAS,14,0,4.9,0.4,1.3,0.333,0.1,0.3,0.25,0.4,1.0,0.357,0.361,0.2,0.2,1.0,0.1,0.5,0.6,0.2,0.1,0.1,0.1,1.1,1.1,4810320,4810320
Terence Davis,SG,25,SAC,52,4,13.3,2.4,5.5,0.436,1.3,3.6,0.369,1.1,1.9,0.56,0.556,0.6,0.7,0.886,0.3,1.9,2.3,1.1,0.7,0.2,0.8,1.7,6.7,4000000,4000000
JD Davison,PG,20,BOS,7,0,2.6,0.4,1.6,0.273,0.0,0.4,0.0,0.4,1.1,0.375,0.273,0.0,0.0,,0.1,0.6,0.7,0.4,0.3,0.0,0.1,0.3,0.9,508891,508891
Darius Days,PF,23,HOU,4,0,6.3,1.3,3.0,0.417,0.8,2.5,0.3,0.5,0.5,1.0,0.542,0.5,0.5,1.0,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8,508891,508891
Dewayne Dedmon,C,33,TOT,31,0,11.5,2.1,4.2,0.504,0.4,1.2,0.297,1.8,3.0,0.585,0.546,1.0,1.4,0.727,0.9,2.6,3.5,0.5,0.2,0.5,0.6,2.0,5.6,8283688,8283688
Matthew Dellavedova,PG,32,SAC,27,0,6.6,0.5,1.5,0.317,0.3,0.8,0.318,0.2,0.7,0.316,0.402,0.1,0.3,0.571,0.0,0.4,0.4,1.3,0.2,0.0,0.4,0.6,1.4,2628597,2628597
DeMar DeRozan,SF,33,CHI,61,61,36.2,9.0,17.8,0.509,0.5,1.6,0.316,8.5,16.2,0.528,0.523,6.3,7.3,0.868,0.5,4.1,4.6,5.1,1.0,0.5,2.2,2.7,25.0,27300000,27300000
Moussa Diabate,PF,21,LAC,18,1,9.6,1.2,2.2,0.525,0.1,0.1,0.5,1.1,2.1,0.526,0.538,0.6,0.9,0.625,1.6,0.9,2.5,0.2,0.3,0.3,0.5,0.7,2.9,508891,508891
Mamadi Diakite,PF,26,CLE,16,2,6.1,0.7,1.6,0.423,0.3,0.9,0.267,0.4,0.7,0.636,0.5,0.0,0.0,,0.2,0.6,0.8,0.1,0.1,0.4,0.4,0.8,1.6,508891,508891
Hamidou Diallo,SG,24,DET,56,0,17.8,3.8,6.7,0.573,0.1,0.4,0.238,3.8,6.3,0.593,0.58,1.6,2.6,0.588,1.0,2.4,3.5,1.0,0.9,0.3,1.3,2.2,9.3,5200000,5200000
Gorgui Dieng,C,33,SAS,22,1,9.7,1.2,3.0,0.388,0.5,2.1,0.261,0.6,1.0,0.667,0.478,0.2,0.3,0.833,0.9,1.7,2.6,1.4,0.1,0.4,0.8,1.4,3.1,4105236,4105236
Ousmane Dieng,SF,19,OKC,25,0,16.4,2.2,5.1,0.438,0.8,2.8,0.304,1.4,2.4,0.593,0.52,0.4,0.7,0.588,0.5,2.6,3.2,1.2,0.4,0.2,0.6,1.2,5.7,4569840,4569840
Spencer Dinwiddie,PG,29,TOT,66,66,34.3,6.0,13.4,0.447,2.5,6.4,0.384,3.5,6.9,0.507,0.54,3.4,4.1,0.824,0.4,2.9,3.3,5.7,0.8,0.3,1.8,2.4,17.8,19500000,19500000
Donte DiVincenzo,SG,26,GSW,58,23,26.4,3.2,7.5,0.428,2.2,5.3,0.408,1.1,2.2,0.473,0.571,0.7,0.9,0.843,1.1,3.4,4.5,3.4,1.3,0.2,1.4,1.9,9.3,4500000,4500000
Luka Doncic,PG,23,DAL,57,57,36.3,11.0,22.1,0.5,2.8,7.9,0.349,8.3,14.1,0.586,0.563,8.1,11.0,0.736,0.8,7.8,8.6,8.0,1.5,0.5,3.7,2.6,33.0,37096500,37096500
Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1.0,1.0,1.0,0.9,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0,201802,201802
Luguentz Dort,SG,23,OKC,61,60,30.2,4.7,11.8,0.396,1.8,5.4,0.335,2.8,6.3,0.448,0.474,2.7,3.5,0.775,1.5,2.7,4.2,2.2,1.0,0.3,1.3,3.2,13.8,15277778,15277778
Ayo Dosunmu,SG,23,CHI,65,49,27.1,3.7,7.4,0.499,0.8,2.4,0.318,2.9,5.0,0.587,0.551,0.9,1.1,0.811,0.6,2.3,3.0,2.6,0.7,0.3,1.3,2.5,9.0,1563518,1563518
Devon Dotson,PG,23,WAS,6,0,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0.0,1.0,0.0,0.15,0.0,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,169630,169630
Jeff Dowtin,PG,25,TOR,18,0,8.8,1.1,2.4,0.442,0.2,0.6,0.273,0.9,1.8,0.5,0.477,0.2,0.2,0.75,0.3,0.6,0.9,0.9,0.2,0.1,0.3,0.6,2.4,508891,508891
PJ Dozier,SG,26,SAC,8,0,1.8,0.3,0.8,0.333,0.1,0.5,0.25,0.1,0.3,0.5,0.417,0.0,0.0,,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.1,0.6,784654,784654
Goran Dragic,PG,36,CHI,51,0,15.4,2.5,5.9,0.425,0.9,2.5,0.352,1.6,3.4,0.48,0.5,0.5,0.8,0.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4,3523762,3523762
Andre Drummond,C,29,CHI,54,0,12.9,2.6,4.2,0.618,0.0,0.0,0.0,2.6,4.2,0.624,0.618,1.0,1.9,0.54,2.1,4.6,6.7,0.6,0.6,0.3,1.2,1.9,6.2,3200000,3200000
Chris Duarte,SF,25,IND,44,11,19.7,2.7,7.3,0.368,1.2,3.8,0.314,1.5,3.5,0.429,0.45,1.3,1.6,0.843,0.4,2.2,2.6,1.4,0.5,0.2,0.9,1.5,8.0,3936960,3936960
David Duke,SG,23,BRK,18,0,9.6,1.6,3.4,0.459,0.1,0.4,0.125,1.5,2.9,0.509,0.467,0.3,0.5,0.556,0.4,0.7,1.1,0.9,0.4,0.1,0.8,1.5,3.4,508891,508891
Kris Dunn,PG,28,UTA,8,0,22.4,5.0,9.5,0.526,0.9,2.4,0.368,4.1,7.1,0.579,0.572,1.0,1.3,0.8,0.8,3.9,4.6,4.4,1.8,0.6,1.5,2.9,11.9,264182,264182
Kevin Durant,PF-SF,34,TOT,42,42,35.7,10.5,18.5,0.566,1.9,4.8,0.386,8.6,13.7,0.629,0.616,6.7,7.2,0.931,0.4,6.4,6.8,5.2,0.8,1.5,3.4,2.3,29.5,44119845,44119845
Jalen Duren,C,19,DET,54,27,24.9,3.6,5.7,0.637,0.0,0.0,0.0,3.6,5.6,0.639,0.637,1.4,2.3,0.626,3.4,5.4,8.8,1.1,0.6,0.9,1.2,2.7,8.6,4124280,4124280
Tari Eason,PF,21,HOU,67,3,20.4,3.6,7.8,0.457,0.7,2.0,0.376,2.8,5.8,0.485,0.505,1.3,1.8,0.748,2.3,3.5,5.8,1.0,1.1,0.6,1.2,2.3,9.2,3359160,3359160
Anthony Edwards,SG,21,MIN,68,68,36.4,9.0,19.6,0.459,2.7,7.4,0.368,6.3,12.2,0.514,0.528,4.1,5.3,0.774,0.6,5.3,5.9,4.4,1.7,0.7,3.4,2.5,24.8,10733400,10733400
Kessler Edwards,SF,22,TOT,19,1,7.0,0.6,1.9,0.306,0.3,1.0,0.263,0.3,0.9,0.353,0.375,0.2,0.2,0.75,0.4,0.9,1.4,0.3,0.3,0.1,0.3,0.5,1.6,1637966,1637966
Keon Ellis,SG,23,SAC,10,0,3.6,0.6,1.0,0.6,0.5,0.8,0.625,0.1,0.2,0.5,0.85,0.2,0.3,0.667,0.3,0.4,0.7,0.3,0.2,0.1,0.1,0.6,1.9,508891,508891
Joel Embiid,C,28,PHI,54,54,35.0,11.1,20.5,0.539,1.1,3.0,0.354,10.0,17.5,0.571,0.565,10.2,11.9,0.854,1.8,8.2,10.0,4.1,1.1,1.6,3.4,3.2,33.4,33616770,33616770
Drew Eubanks,C,25,POR,66,20,19.7,2.5,3.7,0.683,0.0,0.1,0.429,2.5,3.6,0.691,0.689,1.0,1.6,0.66,1.6,3.5,5.1,1.2,0.5,1.2,0.8,2.2,6.1,1968175,1968175
Bruno Fernando,C,24,TOT,33,4,11.2,1.5,2.9,0.521,0.0,0.0,0.0,1.5,2.9,0.526,0.521,0.9,1.3,0.682,1.5,2.3,3.8,0.9,0.2,0.9,0.7,2.1,3.9,2717391,2717391
Dorian Finney-Smith,PF,29,TOT,54,54,31.4,3.1,7.7,0.399,1.8,5.3,0.339,1.3,2.4,0.531,0.516,0.7,0.9,0.74,1.6,3.1,4.8,1.5,0.9,0.5,0.9,2.1,8.6,12939848,12939848
Dorian Finney-Smith,PG,34,DEN,34,0,9.4,1.3,3.0,0.436,0.1,0.2,0.333,1.2,2.8,0.442,0.446,0.0,0.1,0.5,0.1,1.2,1.3,2.2,0.2,0.2,1.1,0.8,2.7,12939848,12939848
Malachi Flynn,PG,24,TOR,43,1,13.7,1.7,4.7,0.37,1.0,2.6,0.378,0.7,2.1,0.36,0.475,0.4,0.6,0.708,0.3,1.2,1.5,1.5,0.4,0.1,0.4,1.3,4.8,2145720,2145720
Simone Fontecchio,SF,27,UTA,39,1,11.6,1.5,4.3,0.355,0.9,2.8,0.312,0.7,1.5,0.433,0.456,0.6,0.8,0.781,0.5,0.7,1.3,0.7,0.3,0.2,0.6,1.0,4.6,3205128,3205128
Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,2298385,2298385
Trent Forrest,PG,24,ATL,18,3,13.3,1.3,2.8,0.48,0.0,0.1,0.0,1.3,2.7,0.5,0.48,0.1,0.2,0.667,0.3,1.3,1.6,1.7,0.3,0.1,0.6,0.9,2.8,508891,508891
Michael Foster,PF,20,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106288,106288
Evan Fournier,SG,30,NYK,23,7,18.0,2.3,6.6,0.351,1.4,4.4,0.324,0.9,2.1,0.408,0.46,0.8,0.9,0.857,0.2,1.8,2.0,1.5,0.6,0.1,0.8,1.9,6.8,18000000,18000000
De'Aaron Fox,PG,25,SAC,59,59,34.1,9.5,18.5,0.512,1.5,4.7,0.325,7.9,13.7,0.577,0.554,4.9,6.3,0.781,0.5,3.7,4.2,6.3,1.2,0.3,2.6,2.5,25.4,30351780,30351780
Markelle Fultz,PG,24,ORL,47,47,29.8,5.6,11.0,0.508,0.4,1.4,0.308,5.2,9.6,0.536,0.527,2.0,2.5,0.793,1.3,2.8,4.0,5.5,1.5,0.4,2.4,2.1,13.6,16500000,16500000
Wenyen Gabriel,PF,25,LAL,54,2,14.8,2.4,4.0,0.614,0.2,0.6,0.3,2.3,3.4,0.665,0.635,0.7,1.2,0.619,1.5,2.3,3.9,0.5,0.3,0.5,0.7,2.1,5.8,1878720,1878720
Daniel Gafford,C,24,WAS,66,35,19.8,3.5,4.7,0.749,0.0,0.0,,3.5,4.7,0.749,0.749,1.5,2.4,0.647,2.0,3.4,5.4,1.0,0.4,1.2,1.0,2.2,8.6,1930681,1930681
Darius Garland,PG,23,CLE,59,59,35.3,7.6,16.2,0.47,2.6,6.2,0.423,5.0,10.0,0.498,0.551,4.2,4.9,0.856,0.4,2.3,2.7,7.9,1.3,0.1,2.9,2.2,22.1,8920794,8920794
Usman Garuba,PF,20,HOU,60,1,13.2,1.2,2.3,0.529,0.4,0.6,0.553,0.9,1.7,0.52,0.604,0.4,0.7,0.595,1.6,2.7,4.3,0.9,0.7,0.4,0.6,1.7,3.2,2471160,2471160
Luka Garza,C,24,MIN,24,0,8.9,2.3,4.3,0.534,0.5,1.5,0.361,1.8,2.8,0.627,0.597,1.7,2.1,0.8,1.2,1.2,2.4,0.6,0.1,0.1,0.5,1.5,6.8,508891,508891
Rudy Gay,PF,36,UTA,52,0,14.5,1.9,5.0,0.376,0.5,2.2,0.228,1.4,2.8,0.493,0.426,0.7,0.8,0.864,0.6,2.4,3.0,1.0,0.3,0.3,0.7,1.3,5.0,6184500,6184500
Paul George,SG,32,LAC,52,52,34.5,8.1,17.7,0.459,2.9,7.7,0.373,5.3,10.0,0.525,0.54,4.6,5.2,0.881,0.8,5.4,6.2,5.2,1.4,0.3,3.2,2.8,23.7,42492492,42492492
Taj Gibson,C,37,WAS,42,2,9.7,1.3,2.5,0.528,0.1,0.5,0.211,1.2,2.1,0.598,0.547,0.6,0.9,0.667,0.7,1.3,2.0,0.7,0.3,0.2,0.5,1.8,3.3,2905851,2905851
Josh Giddey,SG,20,OKC,63,63,30.8,7.0,14.4,0.485,0.9,2.9,0.322,6.0,11.5,0.526,0.518,1.3,1.8,0.757,2.0,5.8,7.8,6.2,0.8,0.4,2.9,2.0,16.2,6287400,6287400
Shai Gilgeous-Alexander,PG,24,OKC,57,57,35.6,10.3,20.3,0.509,0.9,2.6,0.342,9.4,17.7,0.533,0.531,9.7,10.7,0.908,0.9,3.9,4.8,5.6,1.7,1.1,2.9,2.7,31.2,30913750,30913750
Anthony Gill,PF,30,WAS,45,5,10.1,1.2,2.0,0.582,0.1,0.5,0.143,1.1,1.6,0.714,0.599,0.8,1.0,0.791,0.6,0.9,1.5,0.5,0.1,0.2,0.2,1.2,3.2,1836090,1836090
Rudy Gobert,C,30,MIN,56,56,30.5,5.3,7.8,0.674,0.0,0.1,0.0,5.3,7.8,0.679,0.674,3.1,4.8,0.652,3.2,8.4,11.6,1.0,0.8,1.4,1.7,3.0,13.7,38172414,38172414
Jordan Goodwin,PG,24,WAS,48,4,17.4,2.3,5.0,0.45,0.6,1.6,0.36,1.7,3.4,0.491,0.506,0.8,1.0,0.755,0.9,2.3,3.2,2.5,0.9,0.5,0.9,1.6,5.8,1280206,1280206
Aaron Gordon,PF,27,DEN,56,56,30.1,6.4,11.1,0.58,1.0,2.6,0.372,5.4,8.5,0.643,0.624,3.0,4.8,0.628,2.4,4.3,6.8,2.9,0.8,0.8,1.5,1.9,16.8,19690909,19690909
Eric Gordon,SG,34,TOT,57,49,29.3,4.3,9.7,0.44,1.8,5.1,0.353,2.5,4.6,0.536,0.532,2.2,2.7,0.808,0.2,1.8,2.0,2.8,0.6,0.4,1.6,1.1,12.6,19568360,19568360
Devonte Graham,PG,27,TOT,64,4,17.5,2.1,5.7,0.377,1.6,4.5,0.358,0.5,1.2,0.453,0.519,1.2,1.5,0.778,0.3,1.3,1.6,2.5,0.6,0.2,0.7,1.0,7.1,11550000,11550000
Jerami Grant,PF,28,POR,63,63,35.7,6.9,14.5,0.475,2.3,5.7,0.401,4.6,8.8,0.523,0.554,4.4,5.4,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,20955000,20955000
AJ Green,SG,23,MIL,30,0,9.7,1.6,3.6,0.444,1.3,3.0,0.433,0.3,0.6,0.5,0.625,0.1,0.1,1.0,0.2,1.0,1.2,0.6,0.2,0.0,0.3,1.0,4.6,508891,508891
Danny Green,SG,35,TOT,7,0,11.4,1.1,3.0,0.381,1.1,2.4,0.471,0.0,0.6,0.0,0.571,0.1,0.1,1.0,0.1,0.6,0.7,0.3,0.4,0.1,0.9,1.3,3.6,11710528,11710528
Draymond Green,PF,32,GSW,60,60,31.4,3.4,6.4,0.523,0.6,1.8,0.324,2.8,4.6,0.601,0.569,1.1,1.6,0.705,0.9,6.5,7.4,6.9,1.0,0.8,2.6,3.0,8.4,25806468,25806468
Jalen Green,SG,20,HOU,61,61,33.6,7.3,17.8,0.414,2.5,7.5,0.337,4.8,10.3,0.47,0.485,4.5,5.7,0.78,0.5,3.3,3.8,3.6,0.7,0.3,2.8,1.7,21.7,9441840,9441840
JaMychal Green,PF,32,GSW,48,1,14.3,2.4,4.6,0.527,0.8,2.1,0.382,1.6,2.5,0.65,0.615,0.9,1.2,0.737,1.3,2.5,3.7,0.9,0.4,0.4,1.0,1.9,6.6,8200000,8200000
Javonte Green,SG,29,CHI,28,1,16.0,2.2,3.7,0.587,0.5,1.2,0.382,1.7,2.5,0.686,0.649,1.0,1.5,0.674,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9,1815677,1815677
Jeff Green,PF,36,DEN,44,3,19.3,3.0,6.0,0.498,0.5,1.7,0.267,2.5,4.3,0.59,0.536,1.4,2.0,0.721,0.7,1.9,2.6,1.1,0.4,0.3,0.9,1.8,7.8,4500000,4500000
Josh Green,SG,22,DAL,48,15,25.1,3.3,6.2,0.532,1.2,2.9,0.413,2.1,3.3,0.635,0.628,1.3,1.8,0.714,0.9,2.0,2.9,1.6,0.8,0.1,1.1,2.6,9.0,3098400,3098400
AJ Griffin,SF,19,ATL,60,11,19.7,3.5,7.4,0.467,1.4,3.6,0.381,2.1,3.8,0.551,0.561,0.5,0.6,0.882,0.5,1.6,2.0,1.0,0.7,0.1,0.6,1.2,8.8,3536160,3536160
Blake Griffin,C,33,BOS,30,13,14.4,1.8,3.5,0.505,0.6,1.7,0.365,1.1,1.8,0.642,0.595,0.5,0.8,0.625,0.9,2.6,3.5,1.3,0.4,0.2,0.5,2.0,4.7,2905851,2905851
Quentin Grimes,SG,22,NYK,59,54,29.4,3.5,7.8,0.448,1.8,5.2,0.354,1.7,2.6,0.636,0.566,1.1,1.3,0.797,0.7,2.5,3.2,1.9,0.6,0.4,1.0,2.5,9.9,2277000,2277000
Rui Hachimura,PF,24,TOT,50,8,24.3,4.7,9.8,0.483,0.9,2.7,0.328,3.9,7.1,0.541,0.527,1.5,2.1,0.74,0.9,3.7,4.6,1.0,0.3,0.4,0.9,1.1,11.9,6263188,6263188
Tyrese Haliburton,PG,22,IND,54,54,33.7,7.4,15.1,0.488,2.9,7.3,0.403,4.4,7.8,0.567,0.585,3.1,3.6,0.87,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.8,4215120,4215120
Jordan Hall,SF,21,SAS,9,0,9.2,1.0,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.462,0.375,0.8,1.0,0.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1,193027,193027
RJ Hampton,PG,21,TOT,34,0,14.4,1.9,4.5,0.434,0.7,2.1,0.347,1.2,2.4,0.513,0.516,1.2,1.6,0.792,0.4,1.2,1.6,1.2,0.7,0.1,0.9,0.9,5.9,2898243,2898243
Tim Hardaway Jr,SG,30,DAL,62,39,30.3,4.8,12.1,0.395,3.0,7.9,0.383,1.7,4.2,0.419,0.521,1.8,2.3,0.759,0.3,3.2,3.6,1.8,0.7,0.2,0.8,1.6,14.4,19602273,19602273
James Harden,PG,33,PHI,50,50,36.8,6.6,14.6,0.45,2.9,7.3,0.398,3.6,7.2,0.503,0.55,5.7,6.6,0.872,0.6,5.6,6.2,10.8,1.1,0.5,3.4,1.9,21.8,33000000,33000000
Jaden Hardy,SG,20,DAL,34,1,12.5,2.4,5.6,0.434,0.9,2.5,0.353,1.5,3.1,0.5,0.513,1.3,1.6,0.83,0.1,1.2,1.3,0.9,0.3,0.1,0.9,1.2,7.0,1017781,1017781
Ron Harper Jr,SF,22,TOR,4,0,3.5,1.0,1.8,0.571,0.5,1.0,0.5,0.5,0.8,0.667,0.714,0.0,0.0,,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,2.5,508891,508891
Montrezl Harrell,C,29,PHI,51,7,12.3,2.2,3.6,0.602,0.0,0.0,0.0,2.2,3.6,0.609,0.602,1.2,1.7,0.694,1.2,1.6,2.7,0.6,0.3,0.5,0.6,1.5,5.5,2463490,2463490
Gary Harris,SG,28,ORL,37,31,24.9,3.0,6.5,0.459,1.9,4.5,0.43,1.1,2.1,0.519,0.605,0.7,0.8,0.893,0.5,1.7,2.2,1.2,1.0,0.2,0.6,2.0,8.6,13000000,13000000
Joe Harris,SG,31,BRK,61,33,22.0,2.9,6.2,0.459,2.0,4.6,0.428,0.9,1.7,0.544,0.615,0.2,0.4,0.625,0.3,2.0,2.3,1.4,0.5,0.2,0.6,2.2,7.9,18642857,18642857
Kevon Harris,SG,25,ORL,27,0,12.4,1.2,2.9,0.416,0.4,1.0,0.393,0.8,1.8,0.429,0.487,0.8,1.0,0.815,0.9,1.1,2.0,0.4,0.5,0.1,0.6,1.3,3.6,508891,508891
Tobias Harris,PF,30,PHI,62,62,33.1,5.8,11.8,0.493,1.7,4.5,0.379,4.1,7.3,0.563,0.565,1.5,1.7,0.874,0.9,4.9,5.8,2.5,1.0,0.5,1.2,2.0,14.8,37633050,37633050
Josh Hart,SF-SG,27,TOT,64,51,32.7,3.6,6.9,0.523,0.8,2.2,0.362,2.8,4.7,0.598,0.58,1.8,2.4,0.734,1.9,6.0,7.9,3.8,1.1,0.2,1.6,2.7,9.8,12960000,12960000
Isaiah Hartenstein,C,24,NYK,70,7,19.5,2.1,4.0,0.518,0.1,0.5,0.229,2.0,3.5,0.559,0.532,0.6,0.8,0.741,2.7,3.8,6.6,0.9,0.6,0.8,0.8,2.6,4.9,7804879,7804879
Udonis Haslem,C,42,MIA,6,1,7.7,0.2,2.0,0.083,0.0,0.3,0.0,0.2,1.7,0.1,0.083,0.2,0.3,0.5,0.7,0.7,1.3,0.0,0.2,0.2,0.0,1.3,0.5,2905851,2905851
Sam Hauser,PF,25,BOS,66,4,15.8,2.2,4.8,0.459,1.7,4.0,0.423,0.5,0.7,0.653,0.637,0.2,0.3,0.706,0.4,2.1,2.5,0.7,0.3,0.3,0.3,1.3,6.2,1637966,1637966
Jaxson Hayes,C,22,NOP,41,2,14.2,2.0,3.6,0.565,0.1,0.7,0.111,2.0,2.9,0.667,0.575,1.4,2.0,0.699,0.9,2.2,3.0,0.8,0.5,0.5,0.7,1.6,5.5,6803012,6803012
Killian Hayes,PG,21,DET,62,42,26.9,3.7,10.2,0.368,1.1,3.8,0.292,2.6,6.4,0.413,0.422,0.9,1.1,0.783,0.3,2.5,2.8,6.0,1.4,0.4,2.1,2.9,9.5,5837760,5837760
Gordon Hayward,SF,32,CHO,44,44,31.8,5.5,11.7,0.468,1.1,3.3,0.326,4.4,8.4,0.523,0.514,2.5,3.1,0.801,0.7,3.6,4.4,4.0,0.9,0.3,2.0,1.5,14.5,30075000,30075000
Juan Hernangomez,PF,27,TOR,42,10,14.6,1.1,2.7,0.421,0.4,1.6,0.254,0.7,1.1,0.66,0.496,0.2,0.4,0.563,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1.0,2.9,2298385,2298385
Willy Hernangomez,C,28,NOP,34,2,13.0,2.4,4.7,0.522,0.1,0.3,0.2,2.4,4.4,0.544,0.528,2.4,3.0,0.786,1.7,3.4,5.0,0.9,0.4,0.4,1.1,1.8,7.3,2443581,2443581
Tyler Herro,SG,23,MIA,55,55,35.3,7.3,17.0,0.433,3.1,8.1,0.38,4.3,8.9,0.482,0.524,2.5,2.7,0.921,0.5,5.2,5.7,4.3,0.8,0.3,2.5,1.6,20.3,5722116,5722116
Buddy Hield,SF,30,IND,68,68,31.8,6.1,13.3,0.458,3.7,8.7,0.428,2.4,4.6,0.514,0.598,1.3,1.6,0.833,0.9,4.1,5.0,2.7,1.2,0.3,1.8,2.0,17.3,21177750,21177750
Haywood Highsmith,SF,26,MIA,45,9,19.0,1.8,4.2,0.426,0.8,2.2,0.356,1.0,2.0,0.506,0.521,0.2,0.5,0.458,1.0,2.6,3.6,0.7,0.7,0.3,0.8,1.6,4.6,1752638,1752638
George Hill,PG,36,TOT,38,1,18.7,1.7,3.7,0.457,0.6,2.0,0.312,1.1,1.7,0.635,0.543,0.9,1.2,0.739,0.4,1.5,1.9,2.5,0.6,0.1,0.8,1.2,4.9,4000000,4000000
