Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2022/23 Salary,Salary
Malcolm Hill,SF,27,CHI,5,0,1.8,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1.0,0.625,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.0,508891,508891
Aaron Holiday,PG,26,ATL,53,5,13.8,1.5,3.6,0.418,0.6,1.4,0.413,0.9,2.2,0.421,0.5,0.5,0.5,0.857,0.4,0.8,1.2,1.2,0.5,0.2,0.6,1.3,4.0,1968175,1968175
Jrue Holiday,PG,32,MIL,55,53,33.0,7.5,15.8,0.473,2.5,6.4,0.384,5.0,9.3,0.534,0.551,2.3,2.7,0.863,1.1,4.0,5.1,7.3,1.2,0.4,2.9,1.8,19.7,33665040,33665040
Justin Holiday,SG,33,TOT,36,2,15.6,1.7,4.5,0.383,1.2,3.3,0.356,0.6,1.2,0.455,0.512,0.0,0.1,0.0,0.1,0.9,1.0,0.9,0.4,0.4,0.5,1.5,4.6,5987975,5987975
Richaun Holmes,C,29,SAC,35,1,8.7,1.3,2.0,0.681,0.1,0.1,0.75,1.3,1.9,0.677,0.703,0.4,0.5,0.824,0.7,1.3,2.0,0.1,0.1,0.3,0.4,1.3,3.2,11215260,11215260
Al Horford,C,36,BOS,53,53,31.0,3.7,7.6,0.484,2.3,5.0,0.457,1.4,2.6,0.536,0.633,0.3,0.4,0.737,1.2,5.1,6.3,2.8,0.5,0.9,0.6,2.0,9.9,26500000,26500000
Talen Horton-Tucker,SG,22,UTA,54,9,18.4,3.4,7.9,0.426,0.8,2.8,0.285,2.6,5.1,0.504,0.476,1.5,2.0,0.766,0.4,2.4,2.8,3.2,0.6,0.5,1.7,1.6,9.0,10260000,10260000
Danuel House,SF,29,PHI,43,2,14.2,1.5,3.1,0.481,0.7,1.9,0.346,0.9,1.3,0.685,0.585,0.7,1.0,0.714,0.2,1.5,1.7,0.7,0.2,0.2,0.4,1.2,4.4,4105000,4105000
Caleb Houstan,SF,20,ORL,39,2,15.4,1.4,3.4,0.398,0.9,2.4,0.379,0.4,1.0,0.447,0.534,0.3,0.3,0.846,0.7,1.4,2.1,0.5,0.2,0.1,0.3,1.4,3.9,2000000,2000000
Trevor Hudgins,PG,23,HOU,5,0,5.6,0.4,1.8,0.222,0.4,1.6,0.25,0.0,0.2,0.0,0.333,0.6,0.6,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.8,508891,508891
Kevin Huerter,SG,24,SAC,63,63,30.0,5.5,11.3,0.487,2.7,6.7,0.399,2.9,4.7,0.612,0.604,1.3,1.9,0.709,0.6,2.7,3.3,2.9,1.1,0.3,1.4,2.5,15.0,14508929,14508929
De'Andre Hunter,SF,25,ATL,58,58,31.9,5.7,12.2,0.467,1.6,4.3,0.361,4.1,7.9,0.525,0.531,2.7,3.3,0.827,0.6,3.6,4.2,1.4,0.5,0.3,1.3,3.0,15.7,9835881,9835881
Bones Hyland,PG,22,TOT,47,1,19.0,3.9,10.0,0.391,2.0,5.5,0.371,1.9,4.5,0.415,0.493,1.7,2.0,0.859,0.3,1.9,2.2,2.8,0.7,0.3,1.5,1.7,11.6,2201520,2201520
Serge Ibaka,C,33,MIL,16,0,11.6,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.537,0.5,0.8,0.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1,2905851,2905851
Andre Iguodala,SF,39,GSW,7,0,13.9,0.7,1.7,0.417,0.1,1.1,0.125,0.6,0.6,1.0,0.458,0.0,0.0,,0.4,1.7,2.1,2.3,0.4,0.4,1.3,1.1,1.6,2905851,2905851
Joe Ingles,SF,35,MIL,34,0,22.9,2.4,5.6,0.429,1.7,4.4,0.393,0.7,1.2,0.561,0.584,0.4,0.5,0.824,0.3,2.8,3.1,3.1,0.7,0.1,1.2,1.7,7.0,6479000,6479000
Brandon Ingram,SF,25,NOP,31,31,32.7,8.4,17.8,0.47,1.5,3.9,0.393,6.8,13.8,0.492,0.514,4.7,5.4,0.868,0.4,4.6,5.0,4.8,0.7,0.4,3.2,2.7,22.9,31650600,31650600
Kyrie Irving,PG,30,TOT,51,51,37.1,9.9,20.2,0.491,3.3,8.5,0.382,6.7,11.7,0.571,0.572,4.1,4.6,0.897,1.0,4.1,5.1,5.6,1.1,0.7,2.3,2.8,27.2,38917057,38917057
Jonathan Isaac,PF,25,ORL,11,0,11.3,2.0,4.8,0.415,0.5,1.4,0.4,1.5,3.5,0.421,0.472,0.5,0.8,0.556,1.4,2.6,4.0,0.5,1.3,0.4,0.4,0.5,5.0,17400000,17400000
Jaden Ivey,SG,20,DET,62,61,30.2,5.2,12.6,0.415,1.4,4.3,0.331,3.8,8.3,0.459,0.472,3.5,4.8,0.732,1.0,2.9,3.9,4.9,0.9,0.3,3.0,3.1,15.4,7252200,7252200
Frank Jackson,PG,24,UTA,1,0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,113114,113114
Isaiah Jackson,C,21,IND,50,6,15.4,2.6,4.6,0.565,0.0,0.2,0.167,2.6,4.4,0.586,0.569,1.5,2.2,0.652,1.6,2.5,4.1,0.9,0.4,1.5,0.8,2.2,6.7,2573760,2573760
Jaren Jackson Jr,C,23,MEM,49,49,27.9,6.0,12.3,0.487,1.5,4.4,0.339,4.5,7.8,0.57,0.548,3.6,4.5,0.792,1.6,5.0,6.6,0.9,1.0,3.2,1.5,3.5,17.0,28946605,28946605
Justin Jackson,SF,27,BOS,23,0,4.7,0.3,1.2,0.259,0.2,0.9,0.25,0.1,0.3,0.286,0.352,0.0,0.1,0.5,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9,1836090,1836090
Quenton Jackson,PG,24,WAS,3,0,2.7,0.7,1.0,0.667,0.3,0.7,0.5,0.3,0.3,1.0,0.833,0.0,0.0,,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.3,1.7,219630,219630
Reggie Jackson,PG,32,TOT,61,38,24.9,3.8,9.5,0.403,1.4,4.2,0.342,2.4,5.3,0.452,0.479,1.1,1.2,0.905,0.4,1.7,2.1,3.5,0.7,0.1,1.7,1.7,10.2,11457217,11457217
LeBron James,PF,38,LAL,47,47,36.1,11.3,22.6,0.501,2.1,6.9,0.308,9.2,15.7,0.587,0.549,4.8,6.3,0.759,1.2,7.2,8.4,6.9,0.9,0.6,3.1,1.7,29.5,44474988,44474988
Ty Jerome,SG,25,GSW,44,2,18.5,2.7,5.5,0.488,0.8,2.0,0.389,1.9,3.5,0.546,0.56,0.9,0.9,0.927,0.2,1.6,1.8,3.1,0.5,0.1,0.7,1.5,7.0,4728948,4728948
Isaiah Joe,SG,23,OKC,60,8,17.8,2.9,6.4,0.457,2.3,5.2,0.434,0.7,1.2,0.554,0.632,0.9,1.1,0.818,0.3,2.0,2.3,1.2,0.6,0.1,0.5,1.4,9.0,1836090,1836090
Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,0.5,0.0,0.5,0.0,0.8,1.0,0.75,0.5,0.3,0.5,0.5,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,192293,192293
Cameron Johnson,PF,26,TOT,29,28,27.1,5.1,11.2,0.455,2.6,6.4,0.401,2.5,4.8,0.529,0.571,2.3,2.8,0.805,0.7,3.4,4.1,1.6,1.1,0.3,0.7,1.9,15.1,5887899,5887899
Jalen Johnson,SF,21,ATL,63,6,14.5,2.1,4.3,0.483,0.4,1.4,0.295,1.7,2.9,0.574,0.531,0.7,1.0,0.656,0.7,3.2,3.9,1.0,0.5,0.4,0.5,1.5,5.2,2792640,2792640
James Johnson,PF,35,IND,13,1,9.2,1.1,2.7,0.4,0.2,0.9,0.25,0.8,1.8,0.478,0.443,0.2,0.3,0.75,0.2,1.5,1.6,0.8,0.3,0.5,0.4,2.0,2.6,3841067,3841067
Keldon Johnson,SF,23,SAS,57,57,32.6,7.8,17.3,0.448,2.1,6.4,0.323,5.7,10.9,0.522,0.508,4.0,5.2,0.77,0.8,4.0,4.9,2.9,0.7,0.2,2.2,1.9,21.6,3873024,3873024
Keon Johnson,SG,20,POR,35,0,9.6,1.5,4.1,0.354,0.6,1.9,0.333,0.8,2.2,0.372,0.431,0.5,0.8,0.607,0.3,0.8,1.1,1.1,0.4,0.2,1.0,1.1,4.0,2681040,2681040
Stanley Johnson,SF,26,SAS,30,0,15.6,2.2,4.1,0.533,0.6,1.3,0.45,1.6,2.7,0.573,0.607,0.9,1.3,0.667,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8,4022164,4022164
Nikola Jokic,C,27,DEN,60,60,33.8,9.4,14.9,0.628,0.9,2.2,0.408,8.5,12.8,0.666,0.658,5.0,6.2,0.813,2.4,9.6,12.0,10.0,1.3,0.7,3.6,2.6,24.7,33047803,33047803
Carlik Jones,PG,25,CHI,2,0,11.5,0.5,2.5,0.2,0.0,0.5,0.0,0.5,2.0,0.25,0.2,0.5,2.0,0.25,0.5,1.0,1.5,1.0,0.0,0.0,0.5,0.5,1.5,612162,612162
Damian Jones,C,27,TOT,29,1,9.7,1.1,1.9,0.611,0.1,0.2,0.4,1.1,1.7,0.633,0.63,0.7,0.9,0.76,0.9,1.8,2.7,0.3,0.1,0.6,0.5,1.2,3.0,2298385,2298385
Derrick Jones,SF,25,CHI,51,0,14.0,1.8,3.5,0.511,0.4,1.1,0.327,1.4,2.4,0.595,0.563,1.1,1.3,0.794,1.0,1.5,2.4,0.6,0.4,0.6,0.4,1.4,4.9,3200000,3200000
Herb Jones,SF,24,NOP,52,52,29.0,3.5,7.6,0.453,0.8,2.5,0.295,2.7,5.1,0.532,0.503,1.8,2.4,0.748,1.4,2.7,4.0,2.4,1.6,0.7,1.3,3.2,9.5,1785000,1785000
Kai Jones,C,22,CHO,35,0,9.3,1.1,2.1,0.534,0.1,0.3,0.25,1.0,1.7,0.59,0.555,0.4,0.6,0.75,0.8,1.3,2.1,0.2,0.3,0.5,0.4,1.3,2.7,2909040,2909040
Tre Jones,PG,23,SAS,55,53,29.0,4.9,11.1,0.439,0.7,2.5,0.267,4.2,8.7,0.487,0.468,2.2,2.4,0.888,0.8,2.7,3.5,6.2,1.3,0.1,1.7,1.4,12.6,1782621,1782621
Tyus Jones,PG,26,MEM,66,13,23.3,3.8,8.7,0.435,1.5,4.0,0.378,2.3,4.7,0.482,0.521,1.1,1.3,0.824,0.3,1.9,2.3,4.8,1.1,0.1,0.9,0.4,10.1,15000000,15000000
DeAndre Jordan,C,34,DEN,35,5,14.3,2.1,2.8,0.773,0.0,0.0,1.0,2.1,2.7,0.771,0.778,0.5,1.2,0.439,1.2,3.6,4.8,0.9,0.2,0.6,1.2,1.9,4.8,10733758,10733758
Cory Joseph,PG,31,DET,49,2,17.3,2.0,4.7,0.418,0.7,2.1,0.337,1.3,2.6,0.484,0.494,0.8,1.0,0.784,0.2,1.2,1.5,3.3,0.5,0.1,0.8,1.4,5.5,5155500,5155500
Nikola Jovic,PF,19,MIA,15,8,13.6,1.9,4.6,0.406,0.5,2.3,0.229,1.3,2.3,0.588,0.464,1.2,1.3,0.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5,2239920,2239920
Johnny Juzang,SF,21,UTA,6,0,11.5,1.7,4.8,0.345,1.2,3.5,0.333,0.5,1.3,0.375,0.466,0.0,0.3,0.0,0.3,0.7,1.0,0.2,0.3,0.5,0.3,1.3,4.5,508891,508891
Mfiondu Kabengele,PF,25,BOS,2,0,7.0,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,,1.5,1.0,2.5,0.0,0.0,0.0,0.5,1.5,1.0,508891,508891
Frank Kaminsky,C,29,TOT,32,0,6.6,0.8,1.7,0.491,0.4,0.9,0.4,0.5,0.8,0.6,0.6,0.4,0.5,0.875,0.1,1.3,1.4,0.9,0.2,0.1,0.3,0.7,2.5,2463490,2463490
Trevor Keels,SG,19,NYK,2,0,2.0,0.5,1.5,0.333,0.5,1.5,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,435774,435774
Luke Kennard,SG,26,TOT,45,11,20.9,2.7,5.8,0.456,1.8,3.8,0.457,0.9,2.0,0.456,0.606,0.6,0.6,0.964,0.2,2.2,2.4,1.2,0.5,0.1,0.8,1.4,7.7,13745455,13745455
Walker Kessler,C,21,UTA,64,30,22.3,3.8,5.2,0.721,0.0,0.0,0.5,3.7,5.2,0.722,0.722,1.1,2.0,0.543,3.1,5.2,8.3,0.8,0.4,2.3,0.8,2.3,8.6,2696400,2696400
Braxton Key,SF,25,DET,3,0,3.0,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.7,0.7,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,201802,201802
Corey Kispert,SF,23,WAS,60,32,27.4,3.4,6.9,0.499,2.0,4.6,0.427,1.5,2.3,0.64,0.64,0.9,1.1,0.873,0.4,2.3,2.7,1.2,0.5,0.1,0.7,1.3,9.7,3552840,3552840
Maxi Kleber,C,31,DAL,26,0,25.4,2.3,4.7,0.496,1.1,3.0,0.372,1.2,1.7,0.711,0.614,0.5,0.8,0.591,0.8,3.0,3.8,1.2,0.3,0.9,0.5,2.3,6.3,9000000,9000000
Nathan Knight,PF,25,MIN,34,0,8.1,1.3,2.2,0.573,0.2,0.6,0.381,1.0,1.6,0.648,0.627,1.1,1.6,0.679,0.6,0.9,1.5,0.4,0.3,0.2,0.6,1.1,3.8,1836090,1836090
Kevin Knox,PF-SF,23,TOT,50,1,12.7,1.8,3.9,0.474,0.9,2.5,0.366,0.9,1.4,0.662,0.59,0.6,0.7,0.8,0.5,1.9,2.4,0.3,0.3,0.2,0.6,1.6,5.1,3000000,3000000
Christian Koloko,C,22,TOR,46,19,14.4,1.3,2.7,0.484,0.0,0.2,0.111,1.3,2.5,0.513,0.488,0.8,1.2,0.66,1.5,1.7,3.2,0.5,0.3,1.0,0.4,2.4,3.4,1500000,1500000
John Konchar,SG,26,MEM,58,22,21.5,2.1,4.7,0.44,1.0,2.6,0.366,1.1,2.1,0.533,0.542,0.4,0.5,0.839,0.8,3.6,4.4,1.4,1.0,0.3,0.5,1.6,5.6,2300000,2300000
Furkan Korkmaz,SG,25,PHI,27,0,9.8,1.3,3.1,0.422,0.5,1.4,0.351,0.8,1.7,0.478,0.5,0.7,1.1,0.667,0.2,0.9,1.1,0.7,0.2,0.1,0.7,0.4,3.8,5000000,5000000
Luke Kornet,C,27,BOS,56,0,11.4,1.6,2.3,0.685,0.1,0.2,0.333,1.5,2.1,0.712,0.697,0.5,0.6,0.806,1.3,1.5,2.8,0.7,0.2,0.7,0.4,1.3,3.7,2133278,2133278
Vit Krejci,PG,22,ATL,22,0,5.5,0.5,1.3,0.379,0.2,0.8,0.278,0.3,0.5,0.545,0.466,0.0,0.1,0.5,0.1,0.5,0.6,0.5,0.1,0.0,0.2,0.5,1.3,1563518,1563518
Jonathan Kuminga,PF,20,GSW,54,12,20.2,3.6,7.2,0.503,0.7,2.1,0.345,2.9,5.0,0.57,0.554,1.3,1.9,0.667,0.9,2.4,3.3,1.8,0.6,0.4,1.5,2.3,9.2,5739840,5739840
Kyle Kuzma,PF,27,WAS,62,62,35.2,8.0,17.9,0.447,2.5,7.5,0.332,5.5,10.4,0.53,0.517,2.7,3.7,0.727,0.9,6.4,7.3,3.8,0.5,0.5,3.0,2.2,21.2,13000000,13000000
Anthony Lamb,SF,25,GSW,50,3,20.1,2.5,5.3,0.475,1.3,3.5,0.379,1.2,1.8,0.659,0.6,0.7,0.9,0.733,0.9,2.5,3.4,1.7,0.5,0.3,0.9,2.3,7.0,508891,508891
Jock Landale,C,27,PHO,58,3,14.1,2.4,4.7,0.509,0.3,1.4,0.241,2.1,3.3,0.619,0.544,1.3,1.7,0.773,1.7,2.3,4.1,0.9,0.2,0.5,0.8,1.8,6.4,1563518,1563518
Romeo Langford,SG,23,SAS,34,19,20.1,3.0,6.2,0.483,0.4,1.4,0.265,2.6,4.8,0.549,0.514,0.7,1.1,0.641,1.4,1.4,2.8,1.3,0.5,0.4,0.7,1.7,7.1,5634257,5634257
Jake LaRavia,PF,21,MEM,32,0,12.1,1.1,2.8,0.393,0.7,2.0,0.338,0.4,0.8,0.542,0.517,0.2,0.3,0.778,0.5,1.3,1.9,0.7,0.4,0.1,0.6,1.5,3.1,3047640,3047640
Zach LaVine,SG,27,CHI,63,63,36.0,8.7,18.0,0.481,2.8,7.3,0.383,5.9,10.8,0.547,0.558,4.8,5.6,0.845,0.5,4.2,4.8,4.0,1.0,0.2,2.6,2.2,24.9,37096500,37096500
AJ Lawson,SG,22,TOT,13,0,4.8,1.0,2.0,0.5,0.5,1.2,0.438,0.5,0.8,0.6,0.635,0.1,0.2,0.333,0.2,0.6,0.8,0.1,0.1,0.0,0.1,0.6,2.6,371432,371432
Damion Lee,SG,30,PHO,67,5,21.0,2.8,6.2,0.445,1.5,3.5,0.444,1.2,2.7,0.446,0.569,1.4,1.5,0.902,0.5,2.6,3.1,1.4,0.4,0.1,1.1,1.6,8.4,2133278,2133278
Saben Lee,PG,23,TOT,22,0,13.7,1.7,4.0,0.42,0.3,0.9,0.35,1.4,3.1,0.441,0.46,1.6,2.1,0.766,0.5,1.2,1.7,2.5,0.7,0.0,1.0,1.2,5.3,2266640,2266640
Alex Len,C,29,SAC,16,1,3.1,0.3,0.6,0.5,0.0,0.1,0.0,0.3,0.6,0.556,0.5,0.2,0.3,0.75,0.3,0.7,0.9,0.3,0.0,0.0,0.4,0.6,0.8,3918600,3918600
Kawhi Leonard,SF,31,LAC,41,39,33.4,8.5,16.6,0.512,1.9,4.5,0.419,6.6,12.0,0.547,0.569,4.8,5.4,0.874,1.1,5.2,6.3,3.9,1.4,0.6,1.6,1.6,23.6,42492492,42492492
Meyers Leonard,C,30,MIL,5,0,6.8,0.8,2.0,0.4,0.8,1.8,0.444,0.0,0.2,0.0,0.6,0.4,0.4,1.0,0.4,1.6,2.0,0.0,0.2,0.0,0.4,1.2,2.8,303642,303642
Caris LeVert,SG,28,CLE,64,27,30.0,4.1,10.1,0.411,1.5,4.2,0.364,2.6,5.9,0.445,0.488,1.7,2.4,0.719,0.7,3.2,3.9,3.9,0.9,0.3,1.6,2.2,11.5,18796296,18796296
Kira Lewis,PG,21,NOP,20,0,10.9,1.9,4.2,0.446,0.7,1.5,0.433,1.2,2.7,0.453,0.524,0.9,1.0,0.85,0.3,1.4,1.6,0.9,0.5,0.1,0.5,1.2,5.2,4004280,4004280
Damian Lillard,PG,32,POR,54,54,36.3,9.6,20.7,0.466,4.2,11.3,0.373,5.4,9.4,0.578,0.568,8.6,9.4,0.919,0.7,3.9,4.7,7.3,0.9,0.3,3.2,1.9,32.1,42492492,42492492
Nassir Little,SF,22,POR,47,2,17.5,2.4,5.0,0.468,1.1,2.8,0.4,1.3,2.3,0.551,0.578,0.5,0.8,0.676,0.5,2.2,2.7,1.0,0.3,0.4,0.6,1.2,6.4,4171548,4171548
Isaiah Livers,PF,24,DET,45,15,22.4,2.2,5.4,0.415,1.4,3.9,0.36,0.8,1.5,0.561,0.546,0.5,0.7,0.767,0.5,2.0,2.5,0.8,0.6,0.6,0.6,1.9,6.4,1563518,1563518
Kenneth Lofton,PF,20,MEM,12,0,3.3,0.8,1.8,0.409,0.1,0.4,0.2,0.7,1.4,0.471,0.432,0.3,0.4,0.6,0.1,0.3,0.4,0.7,0.1,0.0,0.2,0.5,1.8,508891,508891
Kevon Looney,C,26,GSW,68,59,23.4,3.0,4.5,0.65,0.0,0.0,0.0,3.0,4.5,0.653,0.65,1.1,1.8,0.6,3.1,5.9,9.0,2.4,0.6,0.6,0.5,2.9,7.0,8000000,8000000
Brook Lopez,C,34,MIL,66,66,30.5,5.8,11.4,0.513,1.8,4.9,0.379,4.0,6.5,0.614,0.594,1.7,2.3,0.765,2.0,4.7,6.7,1.3,0.5,2.5,1.4,2.5,15.3,13906976,13906976
Robin Lopez,C,34,CLE,34,1,7.5,1.1,1.8,0.65,0.1,0.1,0.667,1.1,1.7,0.649,0.667,0.4,0.5,0.75,0.6,0.7,1.3,0.4,0.0,0.2,0.6,1.0,2.7,2905851,2905851
Kevin Love,PF,34,TOT,50,12,20.3,2.6,6.8,0.386,1.6,4.7,0.333,1.1,2.2,0.5,0.5,1.4,1.5,0.896,1.1,5.8,6.9,1.8,0.2,0.2,1.1,1.6,8.2,30556968,30556968
Kyle Lowry,PG,36,MIA,45,44,33.3,3.8,9.7,0.398,2.1,6.1,0.337,1.8,3.5,0.503,0.505,2.2,2.6,0.849,0.8,3.4,4.3,5.2,1.1,0.4,2.0,2.8,12.0,28333334,28333334
Trey Lyles,PF,27,SAC,60,0,16.6,2.7,5.5,0.489,1.2,3.1,0.378,1.5,2.3,0.64,0.598,1.5,1.8,0.806,0.9,3.0,3.9,0.9,0.4,0.5,0.9,1.3,8.0,2625000,2625000
Theo Maledon,PG,21,CHO,36,1,16.1,1.8,4.4,0.414,0.6,1.8,0.333,1.2,2.6,0.468,0.481,1.4,1.6,0.875,0.3,2.1,2.4,2.4,0.8,0.2,1.0,1.0,5.6,2408891,2408891
Sandro Mamukelashvili,C,23,TOT,28,0,10.0,1.0,2.8,0.354,0.4,1.5,0.279,0.6,1.3,0.444,0.43,0.6,1.0,0.667,0.8,1.8,2.6,0.6,0.2,0.2,0.5,1.1,3.1,758395,758395
Terance Mann,SG,26,LAC,68,35,23.4,3.5,6.6,0.527,0.9,2.4,0.388,2.5,4.2,0.608,0.598,1.1,1.4,0.777,1.0,2.6,3.6,2.3,0.5,0.3,1.0,1.9,9.0,1930681,1930681
Tre Mann,PG,21,OKC,58,4,18.2,3.0,7.7,0.388,1.3,4.1,0.315,1.7,3.7,0.467,0.47,0.6,0.9,0.74,0.4,1.9,2.3,1.7,0.6,0.2,0.9,1.5,7.9,3046200,3046200
Boban Marjanovic,C,34,HOU,24,0,4.8,1.3,1.9,0.689,0.0,0.0,0.0,1.3,1.8,0.705,0.689,0.8,1.0,0.75,0.5,1.2,1.7,0.2,0.2,0.0,0.3,0.2,3.3,4101478,4101478
Lauri Markkanen,SF,25,UTA,61,61,34.4,8.5,16.9,0.504,3.0,7.5,0.4,5.5,9.4,0.586,0.593,5.2,5.9,0.873,1.9,6.6,8.6,1.8,0.6,0.6,1.9,2.1,25.2,16475454,16475454
Naji Marshall,SF,25,NOP,63,21,24.9,3.3,7.7,0.432,1.0,3.1,0.313,2.4,4.7,0.512,0.495,1.8,2.3,0.788,0.7,3.1,3.8,2.6,0.7,0.2,1.3,1.5,9.5,1782621,1782621
Caleb Martin,PF,27,MIA,58,49,29.8,3.8,8.1,0.465,1.3,3.6,0.374,2.4,4.5,0.536,0.547,1.3,1.7,0.794,1.3,3.7,5.0,1.6,1.0,0.5,1.1,2.0,10.2,6479000,6479000
Cody Martin,SF,27,CHO,7,0,19.1,2.0,5.1,0.389,0.4,2.0,0.214,1.6,3.1,0.5,0.431,0.6,1.0,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5.0,7000000,7000000
KJ Martin,SF,22,HOU,67,34,27.0,4.8,8.5,0.565,0.8,2.6,0.318,4.0,5.9,0.674,0.614,1.7,2.6,0.665,1.5,4.1,5.5,1.6,0.5,0.4,1.2,1.8,12.2,1782621,1782621
Tyrese Martin,SG,23,ATL,13,0,3.5,0.5,1.2,0.375,0.1,0.4,0.2,0.4,0.8,0.455,0.406,0.2,0.2,1.0,0.2,0.3,0.5,0.0,0.1,0.0,0.1,0.2,1.2,1017781,1017781
Garrison Mathews,SG,26,TOT,47,0,12.9,1.3,3.6,0.357,1.1,3.3,0.346,0.1,0.3,0.467,0.515,0.9,1.0,0.911,0.2,1.1,1.3,0.5,0.5,0.1,0.4,1.2,4.6,2000000,2000000
Bennedict Mathurin,SF,20,IND,67,6,27.8,5.3,12.4,0.428,1.3,4.2,0.315,4.0,8.2,0.485,0.481,4.8,5.8,0.826,1.1,2.9,4.0,1.4,0.6,0.1,1.8,2.0,16.6,6586800,6586800
Wesley Matthews,SG,36,MIL,39,0,15.6,1.0,3.0,0.331,0.8,2.4,0.326,0.2,0.6,0.348,0.462,0.4,0.5,0.85,0.8,1.5,2.2,0.5,0.4,0.3,0.4,1.4,3.2,2905851,2905851
Tyrese Maxey,SG,22,PHI,48,29,32.9,7.1,15.3,0.468,2.4,5.9,0.408,4.8,9.4,0.506,0.546,3.1,3.8,0.834,0.4,2.3,2.7,3.4,0.8,0.1,1.3,2.2,19.8,2726880,2726880
